T. Geddes Grant (Distributors) Limited,,,,,,,,,,,,
Container Receival Report ,,,,,,,,,,,,
"for week ending June 16, 2017  ",,,,,,,,,,,,
,,,,,,,,,,,,
PO #,PO Date,Supplier,Product Description,Qty,Size Container,Container #,Shipping Line,ETA Jamaica,ETA TGG,Actual Arrival Date - TGG,Date Offloaded,Date left compound
,,Par Steel Shelving,Warehouse Supplies,2100 pieces,20,TCLU 321773-9,Freight Handlers,"June 5, 2017","June 12, 2017",,,
22857,,United Biscuits (UK) Limited,Assorted McVities Products,,40,ECMU 468059-9,CMA-CGM,"June 6, 2017","June 13, 2017",,,
23113,,MeadJohnson Nutrition,Assorted Alacta plus Products,714 cases,20,CMAU 061674-7,Gateway Shipping,"June 7, 2017","June 14, 2017",,,
23016,"April 25, 2017",Kimberly Clark,Assorted Paper Products,1728 cases,40,SMLU 792277-8,Seaboard,"June 7, 2017","June 14, 2017",,,
23018,"April 25, 2017",Kimberly Clark,Assorted Paper Products,1654 cases,40,SMLU 793665-8,, ,,,,
23023,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 794056-0,, ,,,,
23024,"May 28, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 795205-2,, ,,,,
22921,"April 6, 2017",CGA Limited,Simply Natural Coconut Oil,2050 cases,40,BSIU 978472-3,Crowley,"June 11, 2017","June 18, 2017",,,
23051,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Grape 370ml,2520 cases,40,BSIU 972622-3,Crowley,"June 11, 2017","June 18, 2017",,,
,,,Busta Assorted Flavours 370ml,2520 cases,40,SEFU 421155-8,,,,,,
22998,"April 21, 2017",,Busta Wild Black Cherry 370ml,2520 cases,40,XINU 819253-3,,,,,,
,,,Busta Grape 370ml,2520 cases,40,CMCU 497103-6,,,,,,
,,,Busta Grape 370ml,2520 cases,40,FSCU 993980-6,,,,,,
,,,Busta Grape 370ml,2520 cases,40,BSIU 972557-2,,,,,,
23054,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,SMLU 788850-2,Seaboard,"June 11, 2017","June 18, 2017",,,
,,,Busta Grape 370ml,2520 cases,40,SMLU 786525-6,,,,,,
,,,Busta Grape 370ml/Kool Kidz Assorted,2796 cases,40,XINU 822168-9,,,,,,
,,,Busta Kola Champagne 370ml,2520 cases,40,SMLU 783666-4,,,,,,
,,,Busta Kola Champagne 370ml,2520 cases,40,SMLU 787035-5,,,,,,
23130,,,American Classic Cola 370ml,2520 cases,40,SMLU 786594-0,,,,,,
,,,American Classic Cola 370ml,2520 cases,40,FCIU 924153-9,,,,,,
,,,American Classic Lime In 370ml,2520 cases,40,TCNU 602861-2,,,,,,
23237,"May 25, 2017",S. M. Jaleel & Company Limited,Chubby Assorted Flavours 250ml,3710 cases,40,SMLU 790673-5,Seaboard,"June 11, 2017","June 18, 2017",,,
23131,"May 9, 2017",,Assorted Fruta Products,3989 cases,40,SMLU 789718-7,,,,,,
,,,Assorted Fruta Products,4011 cases,40,BSIU 906388-2,,,,,,
23054,"April 26, 2017",,Busta Cranberry 370ml,2520 cases,40,SMLU 784564-5,,,,,,
,,,Busta Cranberry 370ml,2520 cases,40,SMLU 786497-0,,,,,,
,,,Busta Fruit Punch 370ml,2520 cases,40,BMOU 409553-6,,,,,,
,,,Busta Fruit Punch 370ml,2520 cases,40,BMOU 407076-0,,,,,,
23184,"May 16, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,550 bags,20,SMLU 311998-4,Seaboard,"June 14, 2017","June 21, 2017",,,
,,,,550 bags,20,TCKU 281032-0,,,,,,
,,,,550 bags,20,TTNU 399374-8,,,,,,
,,,,550 bags,20,CAIU 210537-9,,,,,,
,,,,548 bags,20,SMLU 256744-9,,,,,,
23238,"May 25, 2017",S. M. Jaleel & Company Limited,Busta Assorted Flavours 591ml,1680 cases,40,SEGU 621790-2,CMA-CGM,"June 14, 2017","June 21, 2017",,,
23134,"May 9, 2017",,Kool Kidz Fruit Punch 200ml,3969 cases,40,TGHU 636154-3,,,,,,
,,,Kool Kidz Apple 200ml,3969 cases,40,TCNU 315595-3,,,,,,
,,,Kool Kidz Kiwi Strawberry 200ml,3969 cases,40,BMOU 642051-1,,,,,,
,,,Kool Kidz Orange 200ml,3969 cases,40,TGHU 878110-2,,,,,,
23054,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Green Crush 370ml,2520 cases,40,ZCSU 277716-0,Zim,"June 18, 2017","June 25, 2017",,,
23134,"May 9, 2017",,Kool Kidz Strawberry Banana 200ml,3969 cases,40,TGHU 822066-8,,,,,,
23132,"May 9, 2017",,Assorted Chubby Flavours 250ml,3780 cases,40,ZCSU 700761-9,,,,,,
22967,,,Busta Cranberry 370ml,2520 cases,40,TGHU 521393-7,,,,,,
23132,"May 9, 2017",,Busta Orange 370ml,2520 cases,40,TEMU 676896-4,,,,,,
,,,Busta Orange 370ml,2520 cases,40,ZCSU 895481-2,,,,,,
22967,,S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,TGHU 773450-7,Seaboard,"June 18, 2017","June 25, 2017",,,
23238,,,Busta Banana 590ml,1680 cases,40,NEXU 953027-9,,,,,,
,,,Busta Pineapple 590ml,1680 cases,40,SMLU 783604-7,,,,,,
23132,,,Busta Banana 370ml,2520 cases,40,TRLU 822753-3,,,,,,
23248,,,Assorted Fruta Products,5698 cases,40,SMLU 788832-8,,,,,,
23127,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23144,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23145,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23150,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23151,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23152,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
22997,"April 21, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,4 - 40,,,"June 18, 2017","June 25, 2017",,,
22997,,S. M. Jaleel & Company Limited,Assorted CSD Products,,3 - 40,,,"June 18, 2017","June 25, 2017",,,
22998,"April 21, 2017",S.M. Jaleel & Company Limited,Assorted CSD Products,,4 - 40,,Seaboard,"June 18, 2017","June 25, 2017",,,
23051,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,, 7 - 40,,,"June 18, 2017","June 25, 2017",,,
23051,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,, 8 - 40,,,"June 18, 2017","June 25, 2017",,,
23053,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,9 - 40,,,"June 18, 2017","June 25, 2017",,,
