,PONUM,PODate,SUPPLIER,ProductDescription,Qty,SizeContainer,ContainerNUM,ShippingLine,ETAJamaica,ETATGG,AADTGG,DateOffloaded,Dateleft
35,23051,?,S. M. Jaleel & Company Limited,Busta Cranberry 590ml,1680 cases,40,TCKU 450554-2,Zim,"June 3, 2017","June 10, 2017",?,?,?
36,23131,"September 5, 2017",S. M. Jaleel & Company Limited,Assorted Kool Kidz 200ml,3969 cases,40,CLHU 857437-3,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
37,23131,"September 5, 2017",S. M. Jaleel & Company Limited,Kool Kidz Kiwi Strawberry 200ml,3969 cases,40,TCNU 979313-2,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
38,23131,"September 5, 2017",S. M. Jaleel & Company Limited,Kool Kidz Fruit Punch 200ml,3969 cases,40,GESU 499436-5,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
39,23131,"September 5, 2017",S. M. Jaleel & Company Limited,Kool Kidz Guava Pineapple 200ml,3969 cases,40,SMLU 786311-9,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
40,23131,"September 5, 2017",S. M. Jaleel & Company Limited,Kool Kidz Strawberry Banana 200ml,3969 cases,40,SMLU 788038-0,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
41,23131,"September 5, 2017",S. M. Jaleel & Company Limited,Assorted Chubby/Kool Kidz Products,3824 cases,40,SMLU 791201-8,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
42,22967,?,S. M. Jaleel & Company Limited,Chubby Rock N Rolla Cola 250ml,3780 cases,40,FCIU 934512-7,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
43,23237,"May 25, 2017",S. M. Jaleel & Company Limited,Chubby Reggae Gold 250ml,3780 cases,40,CRXU 992594-6,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
44,23237,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted Chubby Products 250ml,3780 cases,40,UESU 521478-6,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
45,23237,"May 25, 2017",S. M. Jaleel & Company Limited,Chubby Bubblegum 250ml,3780 cases,40,TRLU 806594-1,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
46,23237,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted Chubby Products 250ml,3780 cases,40,TCNU 959026-4,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
47,23237,"May 25, 2017",S. M. Jaleel & Company Limited,Chubby Pineapple Sunshine 250ml,3780 cases,40,SMLU 785774-9,Seaboard,"June 4, 2017","June 11, 2017",?,?,?
48,23055,"April 26, 2017",S. M. Jaleel & Company Limited,Kool Kidz Kiwi Strawberry 200ml,3969 cases,40,SEGU 420675-0,Crowley,"June 5, 2017","June 12, 2017",?,?,?
49,23126,?,S. M. Jaleel & Company Limited,Busta Gingerbeer 590ml,1680 cases,40,SEGU 566285-8,Crowley,"June 5, 2017","June 12, 2017",?,?,?
50,22998,?,S. M. Jaleel & Company Limited,Busta Fruit Punch 370ml,2520 cases,40,SEGU 566319-7,Crowley,"June 5, 2017","June 12, 2017",?,?,?
51,22998,?,S. M. Jaleel & Company Limited,Busta Fruit Punch 370ml,2520 cases,40,GATU 869902-2,Crowley,"June 5, 2017","June 12, 2017",?,?,?
52,22998,?,S. M. Jaleel & Company Limited,Busta Pineapple 370ml,2520 cases,40,CAIU 823666-9,Crowley,"June 5, 2017","June 12, 2017",?,?,?
53,22998,?,S. M. Jaleel & Company Limited,Busta Cranberry 370ml,2520 cases,40,SEGU 525914-3,Crowley,"June 5, 2017","June 12, 2017",?,?,?
54,22998,?,S. M. Jaleel & Company Limited,Busta Pineapple 370ml,2520 cases,40,CMCU 496402-1,Crowley,"June 5, 2017","June 12, 2017",?,?,?
55,22998,?,S. M. Jaleel & Company Limited,Busta Pineapple 370ml,2520 cases,40,CMCU 497068-3,Crowley,"June 5, 2017","June 12, 2017",?,?,?
56,22998,?,S. M. Jaleel & Company Limited,Busta Pineapple 370ml,2520 cases,40,CMCU 496020-0,Crowley,"June 5, 2017","June 12, 2017",?,?,?
57,22998,?,S. M. Jaleel & Company Limited,Warehouse Supplies,2100 pieces,20,TCLU 321773-9,Crowley,"June 5, 2017","June 12, 2017",?,?,?
58,22857,?,United Biscuits (UK) Limited,Assorted McVities Products,?,40,ECMU 468059-9,CMA-CGM,"June 6, 2017","June 13, 2017",?,?,?
59,23113,?,MeadJohnson Nutrition,Assorted Alacta plus Products,714 cases,20,CMAU 061674-7,Gateway Shipping,"June 7, 2017","June 14, 2017",?,?,?
60,23016,"April 25, 2017",Kimberly Clark,Assorted Paper Products,1728 cases,40,SMLU 792277-8,Seaboard,"June 7, 2017","June 14, 2017",?,?,?
61,23018,"April 25, 2017",Kimberly Clark,Assorted Paper Products,1654 cases,40,SMLU 793665-8,?, ,?,?,?,?
62,23023,"April 25, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 794056-0,?, ,?,?,?,?
63,23024,"May 28, 2017",Kimberly Clark,Assorted Paper Products,2160 cases,40,SMLU 795205-2,?, ,?,?,?,?
64,22921,"April 6, 2017",CGA Limited,Simply Natural Coconut Oil,2050 cases,40,BSIU 978472-3,Crowley,"June 11, 2017","June 18, 2017",?,?,?
65,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Grape 370ml,2520 cases,40,BSIU 972622-3,Crowley,"June 11, 2017","June 18, 2017",?,?,?
66,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Assorted Flavours 370ml,2520 cases,40,SEFU 421155-8,Crowley,"June 11, 2017","June 18, 2017",?,?,?
67,22998,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Wild Black Cherry 370ml,2520 cases,40,XINU 819253-3,Crowley,"June 11, 2017","June 18, 2017",?,?,?
68,22998,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Grape 370ml,2520 cases,40,CMCU 497103-6,Crowley,"June 11, 2017","June 18, 2017",?,?,?
69,22998,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Grape 370ml,2520 cases,40,FSCU 993980-6,Crowley,"June 11, 2017","June 18, 2017",?,?,?
70,22998,"April 21, 2017",S. M. Jaleel & Company Limited,Busta Grape 370ml,2520 cases,40,BSIU 972557-2,Crowley,"June 11, 2017","June 18, 2017",?,?,?
71,23054,"April 26, 2017",S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,SMLU 788850-2,Seaboard,"June 11, 2017","June 18, 2017",?,?,?
